Id,Score
molotovmx,0.5
trafico_zmg,0.35
hekglez,0.47
javiermontanod,0.23
alexmelon,0.32
samuelmdzm,0.47
emeequis,0.57
ricardoanayac,0.56
a_thredson,0.31
ubaldo_eliu,0.38
guillermo_ga,0.27
andreamerlos,0.39
redvialrc,0.29
l_p_o,0.37
imagentvdeporte,0.36
urielms11,0.35
ivanprometeus,0.22
inakialvarez,0.26
tenejapanboy,0.34
maestrosenresi1,0.38
joseluito_1,0.25
monchis1601,0.55
enlacemexicomx,0.36
elyvakeva,0.42
_paniaguaf,0.46
pkumamoto,0.32
enriquealfaror,0.42
eruviel_avila,0.44
jlozanoa,0.29
jet1403,0.29
lunalunamc,Null
03kadin,0.32
ezequielfloresc,0.34
aquimandoyo12,0.41
oxminaox,0.4
juanperez194912,0.45
change,0.56
asmexico,0.38
latati2,0.46
cruzamaranta,0.35
tuiteramx,0.39
ilpiolo,0.27
revistasisomos,0.61
indignado_x,0.53
lalomoreno83,0.38
luisdsevilla,0.23
adalramones,0.51
zona3noticias,0.25
telesurtv,0.42
ocho_tv,0.25
rociohernndezh1,0.26
blancalolbee,0.37
info_fabiolahdz,0.32
shcp_mx,0.4
danocamx,0.43
isidrocorro,0.34
antoniojmarti,0.6
_acheeme,0.19
giiobanny,0.27
comequelites,0.31
manuelgarciaes,0.32
liccsanchez,0.34
victorvhtm,Null
cadthebane,0.28
lopezdoriga,0.46
mexicoxsegundo,0.66
eugeniaguera,0.22
diariodejuarez,0.27
tab_informa,Null
kopylovapavlin1,0.31
mrs_holy_schitt,0.23
javo_chavez,0.42
marc1gar,0.46
seinformativa,0.43
ealmaguerr,0.42
alvarosanchezmx,0.38
johnmackerman,0.52
sre_mx,0.3
sergioylupita,0.29
jesus_zambranog,0.42
miguel_cnar,0.46
melissaleon_ml,0.42
yodkaz,0.27
m_codigorojo,0.33
chiva74,0.31
politicomx,0.37
jazzchocolate,0.27
clasik83,0.32
robertextreme,0.4
capital_21,0.41
terminattor1,0.37
annajov,0.26
caballero_felip,0.35
manceramiguelmx,0.35
manuelrommm,0.25
jjppatron,0.45
acevedotux,0.22
amlooficialnews,0.62
elhijodelrayo,0.37
condesatownmx,0.36
tlaorocio,0.14
tigresoficial,0.39
denisedresserg,0.31
faumyr,0.34
gsophia2998,0.1
mbarbosamx,0.46
luisrg01,0.32
danzoter,0.23
janlaamante_,0.31
mileniomty,0.46
mileniotv,0.39
mileniofirmas,0.59
milenio_leon,0.4
mileniotech,0.59
mileniotam,0.5
mileniolaguna,0.44
milenio_edomex,0.67
mileniociencia,0.54
retiodf,0.39
uninoticias,0.46
memobarba,0.44
ernest_ruelas,0.06
revista_tucan,0.43
jljuarezmx,0.37
ivanazul19,0.24
newshidalgo,0.24
periodistalili,0.24
julietajrc,0.37
bujdudselbachm1,0.31
elloboivan,0.24
martibatres,0.38
00033_alex,0.36
jandresmtz,0.31
